id,name,class_id
268,Eunicida,107
269,Euphausiacea,78
270,Euryalae,94
271,Euryalida,94
272,Falconiformes,14
273,Fecampiida,14
274,Fenestrida,134
275,Fieldingida,59
276,Filospermoidea,59
277,Flosculariaceae,49
278,Forcipulatida,13
279,Fordillida,15
280,Gadiformes,1
281,Gadilida,121
282,Galeommatida,15
283,Galeropygoida,42
284,Galliformes,14
285,Ganeshida,136
286,Gasterosteiformes,1
287,Gastrochaenida,15
288,Gastrotricha incertae sedis,15
289,Gaviiformes,14
290,Gelyelloida,60
291,Geophilomorpha,26
292,Glomerida,40
293,Glomeridesmida,40
294,Gnatophiurida,94
295,Gnosonesimida,
296,Gobiesociformes,1
297,Golfingiida,129
298,Gonorhynchiformes,1
299,Gorgonacea,7
300,Graptoloidea,55
301,Gruiformes,14
302,Gummineae,39
303,Gymnoblastea,67
304,Gymnomera,16
305,Gymnomorpha,52
306,Gymnotiformes,1
307,Gyracanthocephala,47
308,Gyrocotylidea,25
309,Gyrodactylidea,85
310,Hadromerida,39
311,Halichondrida,39
312,Halicryptomorpha,111
313,Halisarcida,39
314,Halocyprida,96
315,Haplobothriidea,25
316,Haplopharyngida,25
317,Haplopoda,16
318,Haplosclerida,39
319,Haplotaxida,29
320,Harpacticoida,60
321,Helioporacea,7
322,Hemiptera,69
323,Herpyllobioida,60
324,Heterocyemida,116
325,Heterodontiformes,43
326,Heteronemertea,105
327,Heteroscleromorpha incertae sedis,39
328,Heterostropha,52
329,Hexactinosa,59
330,Hexactinosida,59
331,Hexamerocerata,100
332,Hexanchiformes,43
333,Hexasterophora incertae sedis,59
334,Hiatellida,15
335,Hippuritida,15
336,Holasteroida,42
337,Holasteroida incertae sedis,42
338,Holectypoida,42
339,Holothuriida,63
340,Holothyrida,10
341,Homalorhagida,70
342,Homosclerophorida,64
343,Hoplonemertea incertae sedis,65
344,Hoplostraca,78
345,Hydroida,67
346,Hymenoptera,69
347,Hymenostraca,78
348,Hyocrinida,36
349,Ibliformes,60
350,Ingolfiellida,78
351,Insectivora,79
352,Isocrinida,36
353,Isolaimida,45
354,Isopoda,78
355,Ixodida,10
356,Julida,40
357,Juliformia incertae sedis,40
358,Kentrogonida,60
359,Keratosida,39
360,Laevicaudata,16
361,Lagomorpha,79
362,Laingiomedusae,67
363,Lamniformes,43
364,Lampriformes,1
365,Latistellata,42
366,Laurida,60
367,Lecanicephalidea,25
368,Leiocopida,96
369,Lepadiformes,60
370,Lepetellida,52
371,Lepidopleurida,108
372,Lepidoptera,69
373,Lepidosireniformes,41
374,Lepisosteiformes,1
375,Leptomedusae,67
376,Leptostraca,78
377,Leptothecata,67
378,Lerneopodidea,60
379,Leucettida,18
380,Leucosolenida,18
381,Limida,15
382,Limnognathida,83
383,Limnomedusae,67
384,Lingulida,74
385,Lithistida,39
386,Lithobiomorpha,26
387,Lithoglyptida,60
388,Lithonida,18
389,Litobothriidea,25
390,Littorinimorpha,52
391,Lobata,136
392,Lophiiformes,1
393,Lophogastrida,78
394,Lucinida,15
395,Lumbriculida,29
396,Lychniscosa,59
397,Lychniscosida,59
398,Lyssacinosa,59
399,Lyssacinosida,59
400,Macrodasyida,59
401,Macrodasyoidea,59
402,Macrostomida,59
403,Macrostomorpha,59
404,Madreporaria,7
405,Marimermithida,45
406,Mazocraeidea,85
407,Megalodontida,15
408,Megalopoda,42
409,Megaloptera,69
410,Meiopriapulomorpha,111
411,Melicerititida,134
412,Merliida,39
413,Mermithida,45
414,Mesogastropoda,52
415,Mesostigmata,10
416,Metacopida,96
417,Micropygoida,42
418,Mictacea,78
419,Millericrinida,36
420,Misophrioida,60
421,Modiomorphida,15
422,Molpadida,63
423,Molpadiida,63
424,Monhysterida,27
425,Monocotylidea,85
426,Mononchida,45
427,Monostilifera,65
428,Monstrilloida,60
429,Montchadskyellidea,85
430,Mormonilloida,60
431,Mugiliformes,1
432,Multivalvulida,89
433,Murrayonida,18
434,Muspiceida,45
435,Myalinida,15
436,Myctophiformes,1
437,Myida,15
438,Myliobatiformes,43
439,Myodocopida,96
440,Myopsida,24
441,Mysida,78
442,Mysidacea,78
443,Mystacocaridida,78
444,Mytilida,15
445,Myxiniformes,88
446,Myzostomida,88
447,Nanaloricida,76
448,Narcomedusae,67
449,Nautilida,24
450,Nectiopoda,114
451,Nectonematida,114
452,Nectonematoidea,54
453,Nectopantopoda,113
454,Nemertodermatida,113
455,Neoechinorhynchida,47
456,Neogastropoda,52
457,Neomeniamorpha,130
458,Neomphalida,52
459,Nepheliospongida,39
460,Neuroptera,69
461,Nippotaeniidea,25
462,Notacanthiformes,1
463,Notaspidea,52
464,Notomyotida,13
465,Notostraca,16
466,Nuculanida,15
467,Nuculida,15
468,Nudibranchia,52
469,Octocorallia incertae sedis,7
470,Octopoda,24
471,Odonata,69
472,Oegopsida,24
473,Oligochaeta incertae sedis,29
474,Onchoproteocephalidea,25
475,Onychopoda,16
476,Opheliida,107
477,Ophiacanthida,94
478,Ophidiiformes,1
479,Ophioleucida,94
480,Ophioscolecida,94
481,Ophiurae,94
482,Ophiurida,94
483,Ophiuroidea Incertae sedis,94
484,Opilioacarida,10
485,Opiliones,10
486,Orbiniida,107
487,Orectolobiformes,43
488,Orthocerida,24
489,Orthoptera,69
490,Osmeriformes,1
491,Osteoglossiformes,1
492,Ostreida,15
493,Palaeocopida,96
494,Palaeoisopoda,113
495,Palaeopantopoda,113
496,Palpigradi,10
497,Pantopoda,113
498,Parachela,50
499,Passeriformes,14
500,Paxillosida,13
501,Pectinida,15
502,Pedinoida,42
503,Pedunculata,60
504,Pelecaniformes,14
505,Penicillaria,7
506,Pennatulacea,7
507,Perciformes,1
508,Percopsiformes,1
509,Peripodida,13
510,Perischoechinida,42
511,Persiculida,63
512,Petromyzontiformes,102
513,Petrosida,39
514,Phascolosomatida,103
515,Philichthyidea,60
516,Philocrinida,60
517,Phlebobranchia,12
518,Phoenicopteriformes,14
519,Pholadomyida,15
520,Pholidoskepia,130
521,Phragmophora,119
522,Phrynophiurida,94
523,Phthiraptera,69
524,Phylactolaemata incertae sedis,104
525,Phyllobothriidea,25
526,Phyllodocida,107
527,Phymosomatoida,42
528,Piciformes,14
529,Pilidiophora incertae sedis,105
530,Plagiorchiida,138
531,Plakinida,64
532,Platyasterida,13
533,Platycopina,96
534,Platycopioida,60
535,Platyctenida,136
536,Platydesmida,40
537,Plecoptera,69
538,Plectida,27
539,Plectognathi,1
540,Plesiosauria,115
541,Pleurobranchida,52
542,Pleurobranchomorpha,52
543,Pleurogona,12
544,Pleuronectiformes,1
545,Pleurotomariida,52
546,Ploima,49
547,Plumatellida,104
548,Podicipediformes,14
549,Podocopa incertae sedis,96
550,Podocopida,96
551,Poecillastrida,39
552,Poecilosclerida,39
