1,Aculifera,25
2,Arthropoda incertae sedis,2
3,Asterozoa,14
4,Catenulida,36
5,Cephalochordata,8
6,Chelicerata,2
7,Conchifera,25
8,Craniiformea,4
9,Crinozoa,14
10,Crustacea,2
11,Echinozoa,14
12,Hexapoda,2
13,Linguliformea,4
14,Myriapoda,2
15,Obturata,37
16,Perviata,37
17,Placophora,25
18,Platyhelminthes incertae sedis,36
19,Rhabditophora,36
20,Rhynchonelliformea,4
21,Trilobitomorpha,2
22,Tunicata,8
23,Urochordata,8
24,Vertebrata,8
25,Xenoturbellida,44
