id,name,family_id
261,Acanthobasiliola,816
262,Acanthobathynella,5238
263,Acanthobatis,342
264,Acanthobdella,342
265,Acanthobolbina,342
266,Acanthobonellia,963
267,Acanthobothrium,4957
268,Acanthobothroides,4957
269,Acanthobrama,2005
270,Acanthobunocephalus,657
271,Acanthocanthopsis,1513
272,Acanthocardia,1240
273,Acanthocardium,1240
274,Acanthocaris,4616
275,Acanthocarpus,1111
276,Acanthocella,1838
277,Acanthocephaloides,602
278,Acanthocephalorhynchoides,6278
279,Acanthocephalus,2422
280,Acanthocepola,1347
281,Acanthoceramoporella,26
282,Acanthocercodes,2238
283,Acanthocercus,2238
284,Acanthochaenus,6992
285,Acanthochaetes,30
286,Acanthochaetetes,27
287,Acanthochaetodon,5860
288,Acanthocharax,1423
289,Acanthochasmus,1873
290,Acanthocheilus,28
291,Acanthochila,1101
292,Acanthochites,30
293,Acanthochiton,30
294,Acanthochitona,30
295,Acanthochondria,1513
296,Acanthochondrites,1513
297,Acanthochromis,5861
298,Acanthocidaris,1557
299,Acanthocinachyra,7255
300,Acanthoclada,6974
301,Acanthocladia,31
302,Acanthocleithron,4478
303,Acanthoclema,3491
304,Acanthoclinus,5732
305,Acanthocobitis,4687
306,Acanthocolax,961
307,Acanthocollaritrema,1873
308,Acanthocolpoides,3888
309,Acanthocolpus,34
310,Acanthocope,4562
311,Acanthocottus,1800
312,Acanthocotyle,35
313,Acanthocromis,5861
314,Acanthocyathus,1269
315,Acanthocybium,6637
316,Acanthocybrium,6637
317,Acanthocyclops,1953
318,Acanthocyclus,877
319,Acanthocythere,5972
320,Acanthocythereis,7430
321,Acanthodaphne,6318
322,Acanthodasys,7309
323,Acanthodelphis,5549
324,Acanthodendrilla,2195
325,Acanthodesia,4328
326,Acanthodesiomorpha,4328
327,Acanthodesmus,5707
328,Acanthodiaptomus,2167
329,Acanthodillo,613
330,Acanthodiscus,6942
331,Acanthodiscus,6039
332,Acanthodiscus,2228
333,Acanthodoras,2323
334,Acanthodoris,4956
335,Acanthodoryx,1677
336,Acanthodraco,833
337,Acanthodrilus,36
338,Acanthodromia,2380
339,Acanthogalea,3888
340,Acanthogammarus,37
341,Acanthognathus,7146
342,Acanthogobio,2005
343,Acanthogobius,3013
344,Acanthogorgia,38
345,Acanthogrubia,330
346,Acanthogyrus,6278
347,Acanthohalacarus,3123
348,Acanthohamingia,963
349,Acanthohaustorius,3210
350,Acanthoisis,3602
351,Acanthoiulus,3658
352,Acantholabrus,3753
353,Acantholaimus,1533
354,Acantholaminatus,4536
355,Acantholatris,1443
356,Acantholeberis,39
357,Acantholingua,6521
358,Acantholiparis,4012
